week,kickoff,away_team,home_team
1,2015-09-10T20:30:00-05:00,Steelers,Patriots
1,2015-09-13T13:00:00-05:00,Packers,Bears
1,2015-09-13T13:00:00-05:00,Chiefs,Texans
1,2015-09-13T13:00:00-05:00,Browns,Jets
1,2015-09-13T13:00:00-05:00,Colts,Bills
1,2015-09-13T13:00:00-05:00,Dolphins,Redskins
1,2015-09-13T13:00:00-05:00,Panthers,Jaguars
1,2015-09-13T13:00:00-05:00,Seahawks,Rams
1,2015-09-13T16:05:00-05:00,Saints,Cardinals
1,2015-09-13T16:05:00-05:00,Lions,Chargers
1,2015-09-13T16:25:00-05:00,Titans,Buccaneers
1,2015-09-13T16:25:00-05:00,Bengals,Raiders
1,2015-09-13T16:25:00-05:00,Ravens,Broncos
1,2015-09-13T20:30:00-05:00,Giants,Cowboys
1,2015-09-14T19:10:00-05:00,Eagles,Falcons
1,2015-09-14T22:20:00-05:00,Vikings,49ers
2,2015-09-17T20:25:00-05:00,Broncos,Chiefs
2,2015-09-20T13:00:00-05:00,Texans,Panthers
2,2015-09-20T13:00:00-05:00,49ers,Steelers
2,2015-09-20T13:00:00-05:00,Buccaneers,Saints
2,2015-09-20T13:00:00-05:00,Lions,Vikings
2,2015-09-20T13:00:00-05:00,Cardinals,Bears
2,2015-09-20T13:00:00-05:00,Patriots,Bills
2,2015-09-20T13:00:00-05:00,Chargers,Bengals
2,2015-09-20T13:00:00-05:00,Titans,Browns
2,2015-09-20T13:00:00-05:00,Falcons,Giants
2,2015-09-20T13:00:00-05:00,Rams,Redskins
2,2015-09-20T16:05:00-05:00,Dolphins,Jaguars
2,2015-09-20T16:05:00-05:00,Ravens,Raiders
2,2015-09-20T16:25:00-05:00,Cowboys,Eagles
2,2015-09-20T20:30:00-05:00,Seahawks,Packers
2,2015-09-21T20:30:00-05:00,Jets,Colts
3,2015-09-24T20:25:00-05:00,Redskins,Giants
3,2015-09-27T13:00:00-05:00,Falcons,Cowboys
3,2015-09-27T13:00:00-05:00,Colts,Titans
3,2015-09-27T13:00:00-05:00,Raiders,Browns
3,2015-09-27T13:00:00-05:00,Bengals,Ravens
3,2015-09-27T13:00:00-05:00,Jaguars,Patriots
3,2015-09-27T13:00:00-05:00,Saints,Panthers
3,2015-09-27T13:00:00-05:00,Eagles,Jets
3,2015-09-27T13:00:00-05:00,Buccaneers,Texans
3,2015-09-27T13:00:00-05:00,Chargers,Vikings
