week,kickoff,away_team,home_team
1,2017-09-07T20:30:00-05:00,Chiefs,Patriots
1,2017-09-10T13:00:00-05:00,Jets,Bills
1,2017-09-10T13:00:00-05:00,Falcons,Bears
1,2017-09-10T13:00:00-05:00,Ravens,Bengals
1,2017-09-10T13:00:00-05:00,Steelers,Browns
1,2017-09-10T13:00:00-05:00,Cardinals,Lions
1,2017-09-10T13:00:00-05:00,Jaguars,Texans
1,2017-09-10T13:00:00-05:00,Buccaneers,Dolphins
1,2017-09-10T13:00:00-05:00,Raiders,Titans
1,2017-09-10T13:00:00-05:00,Eagles,Redskins
1,2017-09-10T04:05:00-03:00,Redskins,Rams
1,2017-09-10T16:25:00-05:00,Seahawks,Packers
1,2017-09-10T16:25:00-05:00,Panthers,49ers
1,2017-09-10T20:30:00-05:00,Giants,Cowboys
1,2017-09-11T19:10:00-05:00,Redskins,Vikings
1,2017-09-11T22:20:00-05:00,Redskins,Broncos
2,2017-09-14T20:25:00-05:00,Texans,Bengals
2,2017-09-17T13:00:00-05:00,Browns,Ravens
2,2017-09-17T13:00:00-05:00,Bills,Panthers
2,2017-09-17T13:00:00-05:00,Cardinals,Colts
2,2017-09-17T13:00:00-05:00,Titans,Jaguars
2,2017-09-17T13:00:00-05:00,Eagles,Chiefs
2,2017-09-17T13:00:00-05:00,Patriots,Saints
2,2017-09-17T13:00:00-05:00,Vikings,Steelers
2,2017-09-17T13:00:00-05:00,Bears,Buccaneers
2,2017-09-17T16:05:00-05:00,Dolphins,Redskins
2,2017-09-17T16:05:00-05:00,Jets,Raiders
2,2004-09-17T13:00:00-05:00,Cowboys,Broncos
2,2004-09-17T13:00:00-05:00,Redskins,Rams
2,2004-09-17T13:00:00-05:00,49ers,Seahawks
2,2004-09-17T13:00:00-05:00,Packers,Falcons
2,2017-09-18T20:30:00-05:00,Lions,Giants
3,2017-09-21T20:25:00-05:00,Rams,49ers
3,2017-09-24T09:30:00-05:00,Ravens,Redskins
3,2017-09-24T13:00:00-05:00,Broncos,Bills
3,2017-09-24T13:00:00-05:00,Saints,Panthers
3,2017-09-24T13:00:00-05:00,Steelers,Bears
3,2017-09-24T13:00:00-05:00,Falcons,Lions
3,2017-09-24T13:00:00-05:00,Browns,Colts
3,2017-09-24T13:00:00-05:00,Buccaneers,Vikings
3,2017-09-24T13:00:00-05:00,Texans,Patriots
3,2017-09-24T13:00:00-05:00,Dolphins,Jets
3,2017-09-24T13:00:00-05:00,Giants,Eagles
3,2017-09-24T16:05:00-05:00,Seahawks,Titans
3,2017-09-24T16:25:00-05:00,Bengals,Packers
3,2017-09-24T16:25:00-05:00,Chiefs,Redskins
3,2017-09-24T20:30:00-05:00,Raiders,Redskins
3,2017-09-24T20:30:00-05:00,Cowboys,Cardinals
4,2017-09-28T20:25:00-05:00,Redskins,Packers
4,2017-10-01T09:30:00-05:00,Saints,Redskins
4,2017-10-01T13:00:00-05:00,Bills,Falcons
4,2017-10-01T13:00:00-05:00,Steelers,Ravens
4,2017-10-01T13:00:00-05:00,Bengals,Browns
4,2017-10-01T13:00:00-05:00,Rams,Cowboys
4,2017-10-01T13:00:00-05:00,Titans,Texans
4,2017-10-01T13:00:00-05:00,Lions,Vikings
4,2017-10-01T13:00:00-05:00,Panthers,Patriots
4,2017-10-01T13:00:00-05:00,Jaguars,Jets
4,2017-10-01T16:05:00-05:00,49ers,Cardinals
4,2017-10-01T16:05:00-05:00,Eagles,Redskins
4,2017-10-01T16:05:00-05:00,Giants,Buccaneers
4,2004-10-01T13:00:00-05:00,Raiders,Broncos
4,2017-10-01T20:30:00-05:00,Colts,Seahawks
4,2017-10-02T20:30:00-05:00,Redskins,Chiefs
5,2017-10-05T20:25:00-05:00,Patriots,Buccaneers
5,2017-10-08T13:00:00-05:00,Bills,Bengals
5,2017-10-08T13:00:00-05:00,Jets,Browns
5,2017-10-08T13:00:00-05:00,Panthers,Lions
5,2017-10-08T13:00:00-05:00,49ers,Colts
5,2017-10-08T13:00:00-05:00,Titans,Dolphins
5,2017-10-08T13:00:00-05:00,Redskins,Giants
5,2017-10-08T13:00:00-05:00,Cardinals,Eagles
5,2017-10-08T13:00:00-05:00,Jaguars,Steelers
5,2017-10-08T16:05:00-05:00,Seahawks,Rams
5,2017-10-08T16:05:00-05:00,Ravens,Raiders
5,2017-10-08T16:25:00-05:00,Packers,Cowboys
5,2017-10-08T20:30:00-05:00,Chiefs,Texans
5,2017-10-09T20:30:00-05:00,Vikings,Bears
6,2017-10-12T20:25:00-05:00,Eagles,Panthers
6,2017-10-15T13:00:00-05:00,Redskins,Falcons
6,2017-10-15T13:00:00-05:00,Redskins,Ravens
6,2017-10-15T13:00:00-05:00,Redskins,Texans
6,2017-10-15T13:00:00-05:00,Packers,Vikings
6,2017-10-15T13:00:00-05:00,Redskins,Saints
6,2017-10-15T13:00:00-05:00,Patriots,Jets
6,2017-10-15T13:00:00-05:00,Redskins,Redskins
6,2017-10-15T16:05:00-05:00,Redskins,Cardinals
6,2017-10-15T16:05:00-05:00,Redskins,Jaguars
6,2017-10-15T16:25:00-05:00,Steelers,Chiefs
6,2017-10-15T16:25:00-05:00,Redskins,Raiders
6,2017-10-15T20:30:00-05:00,Giants,Broncos
6,2017-10-16T20:30:00-05:00,Colts,Titans
7,2017-10-19T20:25:00-05:00,Chiefs,Raiders
7,2017-10-22T13:00:00-05:00,Buccaneers,Bills
7,2017-10-22T13:00:00-05:00,Panthers,Bears
7,2017-10-22T13:00:00-05:00,Titans,Browns
7,2017-10-22T13:00:00-05:00,Saints,Packers
7,2017-10-22T13:00:00-05:00,Jaguars,Colts
7,2017-10-22T13:00:00-05:00,Cardinals,Redskins
7,2017-10-22T13:00:00-05:00,Jets,Dolphins
7,2017-10-22T13:00:00-05:00,Ravens,Vikings
7,2017-10-22T13:00:00-05:00,Bengals,Steelers
7,2017-10-22T16:05:00-05:00,Cowboys,49ers
7,2017-10-22T16:25:00-05:00,Broncos,Redskins
7,2017-10-22T16:25:00-05:00,Seahawks,Giants
7,2017-10-22T20:30:00-05:00,Falcons,Patriots
7,2017-10-23T20:30:00-05:00,Redskins,Eagles
8,2017-10-26T09:30:00-05:00,Dolphins,Ravens
8,2017-10-29T13:00:00-05:00,Vikings,Redskins
8,2017-10-29T13:00:00-05:00,Raiders,Bills
8,2017-10-29T13:00:00-05:00,Colts,Bengals
8,2017-10-29T13:00:00-05:00,Redskins,Patriots
8,2017-10-29T13:00:00-05:00,Bears,Saints
8,2017-10-29T13:00:00-05:00,Falcons,Jets
8,2017-10-29T13:00:00-05:00,49ers,Eagles
8,2017-10-29T13:00:00-05:00,Panthers,Buccaneers
8,2017-10-29T16:05:00-05:00,Texans,Seahawks
8,2017-10-29T16:25:00-05:00,Cowboys,Redskins
8,2017-10-29T20:30:00-05:00,Steelers,Lions
8,2017-10-30T20:30:00-05:00,Broncos,Chiefs
9,2017-11-02T20:25:00-05:00,Bills,Jets
9,2017-11-05T13:00:00-05:00,Redskins,Panthers
9,2017-11-05T13:00:00-05:00,Colts,Texans
9,2017-11-05T13:00:00-05:00,Bengals,Jaguars
9,2017-11-05T13:00:00-05:00,Redskins,Saints
9,2017-11-05T13:00:00-05:00,Rams,Giants
9,2017-11-05T13:00:00-05:00,Broncos,Eagles
9,2017-11-05T13:00:00-05:00,Ravens,Titans
9,2017-11-05T16:05:00-05:00,Cardinals,49ers
9,2017-11-05T16:05:00-05:00,Redskins,Seahawks
9,2017-11-05T16:25:00-05:00,Chiefs,Cowboys
9,2017-11-05T20:30:00-05:00,Raiders,Dolphins
9,2017-11-06T20:30:00-05:00,Lions,Packers
10,2017-11-09T20:25:00-05:00,Seahawks,Cardinals
10,2017-11-12T13:00:00-05:00,Saints,Bills
10,2017-11-12T13:00:00-05:00,Packers,Bears
10,2017-11-12T13:00:00-05:00,Browns,Lions
10,2017-11-12T13:00:00-05:00,Steelers,Colts
10,2017-11-12T13:00:00-05:00,Redskins,Jaguars
10,2017-11-12T13:00:00-05:00,Jets,Buccaneers
10,2017-11-12T13:00:00-05:00,Bengals,Titans
10,2017-11-12T13:00:00-05:00,Vikings,Redskins
10,2017-11-12T16:05:00-05:00,Texans,Rams
10,2017-11-12T16:25:00-05:00,Cowboys,Falcons
10,2017-11-12T16:25:00-05:00,Giants,49ers
10,2017-11-12T20:30:00-05:00,Patriots,Broncos
10,2017-11-13T20:30:00-05:00,Dolphins,Panthers
11,2017-11-16T08:25:00-03:00,Titans,Steelers
11,2017-11-19T13:00:00-05:00,Lions,Bears
11,2017-11-19T13:00:00-05:00,Jaguars,Browns
11,2017-11-19T13:00:00-05:00,Ravens,Packers
11,2017-11-19T13:00:00-05:00,Cardinals,Texans
11,2017-11-19T13:00:00-05:00,Rams,Vikings
11,2017-11-19T13:00:00-05:00,Redskins,Saints
11,2017-11-19T13:00:00-05:00,Chiefs,Giants
11,2017-11-19T16:05:00-05:00,Bills,Redskins
11,2017-11-19T16:25:00-05:00,Bengals,Broncos
11,2017-11-19T16:25:00-05:00,Patriots,Redskins
11,2017-11-19T20:30:00-05:00,Eagles,Cowboys
11,2017-11-20T20:30:00-05:00,Falcons,Seahawks
12,2017-11-23T12:30:00-05:00,Vikings,Lions
12,2017-11-23T16:30:00-05:00,Redskins,Cowboys
12,2017-11-23T20:30:00-05:00,Giants,Redskins
12,2017-11-26T13:00:00-05:00,Buccaneers,Falcons
12,2017-11-26T13:00:00-05:00,Browns,Bengals
12,2017-11-26T13:00:00-05:00,Titans,Colts
12,2017-11-26T13:00:00-05:00,Bills,Chiefs
12,2017-11-26T13:00:00-05:00,Dolphins,Patriots
12,2017-11-26T13:00:00-05:00,Panthers,Jets
12,2017-11-26T13:00:00-05:00,Bears,Eagles
12,2017-11-26T16:05:00-05:00,Saints,Rams
12,2017-11-26T16:05:00-05:00,Seahawks,49ers
12,2017-11-26T16:25:00-05:00,Jaguars,Cardinals
12,2017-11-26T16:25:00-05:00,Broncos,Raiders
12,2017-11-26T20:30:00-05:00,Packers,Steelers
12,2017-11-27T20:30:00-05:00,Texans,Ravens
13,2017-11-30T20:25:00-05:00,Redskins,Cowboys
13,2017-12-03T13:00:00-05:00,Vikings,Falcons
13,2017-12-03T13:00:00-05:00,Lions,Ravens
13,2017-12-03T13:00:00-05:00,Patriots,Bills
13,2017-12-03T13:00:00-05:00,49ers,Bears
13,2017-12-03T13:00:00-05:00,Buccaneers,Packers
13,2017-12-03T13:00:00-05:00,Colts,Jaguars
13,2017-12-03T13:00:00-05:00,Broncos,Dolphins
13,2017-12-03T13:00:00-05:00,Panthers,Saints
13,2017-12-03T13:00:00-05:00,Chiefs,Jets
13,2017-12-03T13:00:00-05:00,Texans,Titans
13,2017-12-03T16:05:00-05:00,Browns,Redskins
13,2017-12-03T16:25:00-05:00,Rams,Cardinals
13,2017-12-03T16:25:00-05:00,Giants,Raiders
13,2017-12-03T20:30:00-05:00,Eagles,Seahawks
13,2017-12-04T20:30:00-05:00,Steelers,Bengals
14,2017-12-07T20:25:00-05:00,Saints,Falcons
14,2017-12-10T13:00:00-05:00,Colts,Bills
14,2017-12-10T13:00:00-05:00,Vikings,Panthers
14,2017-12-10T13:00:00-05:00,Bears,Bengals
14,2017-12-10T13:00:00-05:00,Packers,Browns
14,2017-12-10T13:00:00-05:00,49ers,Texans
14,2017-12-10T13:00:00-05:00,Seahawks,Jaguars
14,2017-12-10T13:00:00-05:00,Raiders,Chiefs
14,2017-12-10T13:00:00-05:00,Lions,Buccaneers
14,2017-12-10T16:05:00-05:00,Titans,Cardinals
14,2017-12-10T16:05:00-05:00,Jets,Broncos
14,2017-12-10T16:05:00-05:00,Redskins,Redskins
14,2017-12-10T16:25:00-05:00,Eagles,Rams
14,2017-12-10T16:25:00-05:00,Cowboys,Giants
14,2017-12-10T20:30:00-05:00,Ravens,Steelers
14,2017-12-11T20:30:00-05:00,Patriots,Dolphins
15,2017-12-14T20:25:00-05:00,Broncos,Colts
15,2017-12-16T16:30:00-05:00,Bears,Lions
15,2017-12-16T20:25:00-05:00,Redskins,Chiefs
15,2017-12-17T13:00:00-05:00,Dolphins,Bills
15,2017-12-17T13:00:00-05:00,Packers,Panthers
15,2017-12-17T13:00:00-05:00,Ravens,Browns
15,2017-12-17T13:00:00-05:00,Texans,Jaguars
15,2017-12-17T13:00:00-05:00,Bengals,Vikings
15,2017-12-17T13:00:00-05:00,Jets,Saints
15,2017-12-17T13:00:00-05:00,Eagles,Giants
15,2017-12-17T13:00:00-05:00,Cardinals,Redskins
15,2017-12-17T16:05:00-05:00,Rams,Seahawks
15,2017-12-17T16:25:00-05:00,Patriots,Steelers
15,2017-12-17T16:25:00-05:00,Titans,49ers
15,2017-12-17T20:30:00-05:00,Cowboys,Raiders
15,2017-12-18T20:30:00-05:00,Falcons,Buccaneers
16,2017-12-23T16:30:00-05:00,Colts,Ravens
16,2017-12-23T20:30:00-05:00,Vikings,Packers
16,2017-12-24T13:00:00-05:00,Buccaneers,Panthers
16,2017-12-24T13:00:00-05:00,Browns,Bears
16,2017-12-24T13:00:00-05:00,Lions,Bengals
16,2017-12-24T13:00:00-05:00,Dolphins,Chiefs
16,2017-12-24T13:00:00-05:00,Bills,Patriots
16,2017-12-24T13:00:00-05:00,Falcons,Saints
16,2017-12-24T13:00:00-05:00,Redskins,Jets
16,2017-12-24T13:00:00-05:00,Rams,Titans
16,2017-12-24T13:00:00-05:00,Broncos,Redskins
16,2017-12-24T16:05:00-05:00,Jaguars,49ers
16,2017-12-24T16:25:00-05:00,Giants,Cardinals
16,2017-12-24T16:25:00-05:00,Seahawks,Cowboys
16,2017-12-25T16:30:00-05:00,Steelers,Texans
16,2017-12-25T20:30:00-05:00,Raiders,Eagles
17,2017-12-31T13:00:00-05:00,Panthers,Falcons
17,2017-12-31T13:00:00-05:00,Bengals,Ravens
17,2017-12-31T13:00:00-05:00,Packers,Lions
17,2017-12-31T13:00:00-05:00,Texans,Colts
17,2017-12-31T13:00:00-05:00,Bills,Dolphins
17,2017-12-31T13:00:00-05:00,Bears,Vikings
17,2017-12-31T13:00:00-05:00,Jets,Patriots
17,2017-12-31T13:00:00-05:00,Redskins,Giants
17,2017-12-31T13:00:00-05:00,Cowboys,Eagles
17,2017-12-31T13:00:00-05:00,Browns,Steelers
17,2017-12-31T13:00:00-05:00,Saints,Buccaneers
17,2017-12-31T13:00:00-05:00,Jaguars,Titans
17,2017-12-31T16:25:00-05:00,Chiefs,Broncos
17,2017-12-31T16:25:00-05:00,Raiders,Redskins
17,2017-12-31T16:25:00-05:00,49ers,Rams
17,2017-12-31T16:25:00-05:00,Cardinals,Seahawks
