week,kickoff,away_team,home_team
1,2014-09-04T19:30:00-05:00,Packers,Seahawks
1,2014-09-07T12:00:00-05:00,Bills,Bears
1,2014-09-07T12:00:00-05:00,Titans,Chiefs
1,2014-09-07T12:00:00-05:00,Patriots,Dolphins
1,2014-09-07T12:00:00-05:00,Jaguars,Eagles
1,2014-09-07T12:00:00-05:00,Saints,Falcons
1,2014-09-07T12:00:00-05:00,Raiders,Jets
1,2014-09-07T12:00:00-05:00,Vikings,Rams
1,2014-09-07T12:00:00-05:00,Bengals,Ravens
1,2014-09-07T12:00:00-05:00,Browns,Steelers
1,2014-09-07T12:00:00-05:00,Redskins,Texans
1,2014-09-07T15:25:00-05:00,Panthers,Buccaneers
1,2014-09-07T15:25:00-05:00,49ers,Cowboys
1,2014-09-07T19:30:00-05:00,Colts,Broncos
1,2014-09-08T18:10:00-05:00,Giants,Lions
1,2014-09-08T21:20:00-05:00,Chargers,Cardinals
2,2014-09-11T19:25:00-05:00,Steelers,Ravens
2,2014-09-14T12:00:00-05:00,Falcons,Bengals
2,2014-09-14T12:00:00-05:00,Dolphins,Bills
2,2014-09-14T12:00:00-05:00,Saints,Browns
2,2014-09-14T12:00:00-05:00,Cardinals,Giants
2,2014-09-14T12:00:00-05:00,Lions,Panthers
2,2014-09-14T12:00:00-05:00,Jaguars,Redskins
2,2014-09-14T12:00:00-05:00,Cowboys,Titans
2,2014-09-14T12:00:00-05:00,Patriots,Vikings
2,2014-09-14T15:05:00-05:00,Rams,Buccaneers
2,2014-09-14T15:05:00-05:00,Seahawks,Chargers
2,2014-09-14T15:25:00-05:00,Chiefs,Broncos
2,2014-09-14T15:25:00-05:00,Jets,Packers
2,2014-09-14T15:25:00-05:00,Texans,Raiders
2,2014-09-14T19:30:00-05:00,Bears,49ers
2,2014-09-15T19:30:00-05:00,Eagles,Colts
3,2014-09-18T19:25:00-05:00,Buccaneers,Falcons
3,2014-09-21T12:00:00-05:00,Titans,Bengals
3,2014-09-21T12:00:00-05:00,Chargers,Bills
3,2014-09-21T12:00:00-05:00,Ravens,Browns
3,2014-09-21T12:00:00-05:00,Redskins,Eagles
3,2014-09-21T12:00:00-05:00,Texans,Giants
3,2014-09-21T12:00:00-05:00,Colts,Jaguars
3,2014-09-21T12:00:00-05:00,Packers,Lions
3,2014-09-21T12:00:00-05:00,Raiders,Patriots
3,2014-09-21T12:00:00-05:00,Cowboys,Rams
3,2014-09-21T12:00:00-05:00,Vikings,Saints
3,2014-09-21T15:05:00-05:00,49ers,Cardinals
3,2014-09-21T15:25:00-05:00,Chiefs,Dolphins
3,2014-09-21T15:25:00-05:00,Broncos,Seahawks
3,2014-09-21T19:30:00-05:00,Steelers,Panthers
3,2014-09-22T19:30:00-05:00,Bears,Jets
4,2014-09-25T19:25:00-05:00,Giants,Redskins
4,2014-09-28T12:00:00-05:00,Packers,Bears
4,2014-09-28T12:00:00-05:00,Titans,Colts
4,2014-09-28T12:00:00-05:00,Lions,Jets
4,2014-09-28T12:00:00-05:00,Dolphins,Raiders
4,2014-09-28T12:00:00-05:00,Panthers,Ravens
4,2014-09-28T12:00:00-05:00,Buccaneers,Steelers
4,2014-09-28T12:00:00-05:00,Bills,Texans
4,2014-09-28T15:05:00-05:00,Jaguars,Chargers
4,2014-09-28T15:25:00-05:00,Eagles,49ers
4,2014-09-28T15:25:00-05:00,Falcons,Vikings
4,2014-09-28T19:30:00-05:00,Saints,Cowboys
4,2014-09-29T19:30:00-05:00,Patriots,Chiefs
5,2014-10-02T19:25:00-05:00,Vikings,Packers
5,2014-10-05T12:00:00-05:00,Ravens,Colts
5,2014-10-05T12:00:00-05:00,Texans,Cowboys
5,2014-10-05T12:00:00-05:00,Rams,Eagles
5,2014-10-05T12:00:00-05:00,Falcons,Giants
5,2014-10-05T12:00:00-05:00,Steelers,Jaguars
5,2014-10-05T12:00:00-05:00,Bills,Lions
5,2014-10-05T12:00:00-05:00,Bears,Panthers
5,2014-10-05T12:00:00-05:00,Buccaneers,Saints
5,2014-10-05T12:00:00-05:00,Browns,Titans
5,2014-10-05T15:05:00-05:00,Cardinals,Broncos
5,2014-10-05T15:25:00-05:00,Chiefs,49ers
5,2014-10-05T15:25:00-05:00,Jets,Chargers
5,2014-10-05T19:30:00-05:00,Bengals,Patriots
5,2014-10-06T19:30:00-05:00,Seahawks,Redskins
6,2014-10-09T19:25:00-05:00,Colts,Texans
6,2014-10-12T12:00:00-05:00,Panthers,Bengals
6,2014-10-12T12:00:00-05:00,Patriots,Bills
6,2014-10-12T12:00:00-05:00,Steelers,Browns
6,2014-10-12T12:00:00-05:00,Ravens,Buccaneers
6,2014-10-12T12:00:00-05:00,Packers,Dolphins
6,2014-10-12T12:00:00-05:00,Bears,Falcons
6,2014-10-12T12:00:00-05:00,Broncos,Jets
6,2014-10-12T12:00:00-05:00,Jaguars,Titans
6,2014-10-12T12:00:00-05:00,Lions,Vikings
6,2014-10-12T15:05:00-05:00,Chargers,Raiders
6,2014-10-12T15:25:00-05:00,Redskins,Cardinals
6,2014-10-12T15:25:00-05:00,Cowboys,Seahawks
6,2014-10-12T19:30:00-05:00,Giants,Eagles
6,2014-10-13T19:30:00-05:00,49ers,Rams
7,2014-10-16T19:25:00-05:00,Jets,Patriots
7,2014-10-19T12:00:00-05:00,Dolphins,Bears
7,2014-10-19T12:00:00-05:00,Vikings,Bills
7,2014-10-19T12:00:00-05:00,Bengals,Colts
7,2014-10-19T12:00:00-05:00,Browns,Jaguars
7,2014-10-19T12:00:00-05:00,Saints,Lions
7,2014-10-19T12:00:00-05:00,Panthers,Packers
7,2014-10-19T12:00:00-05:00,Seahawks,Rams
7,2014-10-19T12:00:00-05:00,Falcons,Ravens
7,2014-10-19T12:00:00-05:00,Titans,Redskins
7,2014-10-19T15:05:00-05:00,Chiefs,Chargers
7,2014-10-19T15:25:00-05:00,Giants,Cowboys
7,2014-10-19T15:25:00-05:00,Cardinals,Raiders
7,2014-10-19T19:30:00-05:00,49ers,Broncos
7,2014-10-20T19:30:00-05:00,Texans,Steelers
8,2014-10-23T19:25:00-05:00,Chargers,Broncos
8,2014-10-26T12:00:00-05:00,Ravens,Bengals
8,2014-10-26T12:00:00-05:00,Vikings,Buccaneers
8,2014-10-26T12:00:00-05:00,Rams,Chiefs
8,2014-10-26T12:00:00-05:00,Lions,Falcons
8,2014-10-26T12:00:00-05:00,Dolphins,Jaguars
8,2014-10-26T12:00:00-05:00,Bills,Jets
8,2014-10-26T12:00:00-05:00,Seahawks,Panthers
8,2014-10-26T12:00:00-05:00,Bears,Patriots
8,2014-10-26T12:00:00-05:00,Texans,Titans
8,2014-10-26T15:05:00-05:00,Eagles,Cardinals
8,2014-10-26T15:25:00-05:00,Raiders,Browns
8,2014-10-26T15:25:00-05:00,Colts,Steelers
8,2014-10-26T19:30:00-05:00,Packers,Saints
8,2014-10-27T19:30:00-05:00,Redskins,Cowboys
9,2014-10-30T19:25:00-05:00,Saints,Panthers
9,2014-11-02T12:00:00-05:00,Jaguars,Bengals
9,2014-11-02T12:00:00-05:00,Buccaneers,Browns
9,2014-11-02T12:00:00-05:00,Jets,Chiefs
9,2014-11-02T12:00:00-05:00,Cardinals,Cowboys
9,2014-11-02T12:00:00-05:00,Chargers,Dolphins
9,2014-11-02T12:00:00-05:00,Eagles,Texans
9,2014-11-02T12:00:00-05:00,Redskins,Vikings
9,2014-11-02T15:05:00-05:00,Rams,49ers
9,2014-11-02T15:25:00-05:00,Broncos,Patriots
